"scientificName","genus","specificEpithet","infraspecificEpithet","basisOfRecord","eventDate","institutionCode","collectionCode","collectionID","country","county","stateProvince","locality","latitude","longitude","identificationID","coordinateUncertaintyInMeters","informationWithheld","habitat"
"Asclepias curtissii A. Gray","Asclepias","curtissii",NA,"PreservedSpecimen",NA,"f","Botany","Botany","United States of America","Columbia","Florida","Locality: Lake City Occurrence Remarks: NA Verbatim Locality: NA",30.189676,-82.63929,"4cd8cf1c-0571-4377-9474-ee3bd04c486d",NA,NA,NA
"Asclepias perennis","Asclepias","perennis",NA,"PreservedSpecimen","2006-07-03","clems",NA,"81b5c57b-5f26-423f-93b6-d4dc434fe707","United States","Beaufort","South Carolina","Locality: Right bank of the Combahee River on the S side of the railroad bridge. Occurrence Remarks: NA Verbatim Locality: NA",32.702278,-80.824417,"4ec398b0-ad83-4d02-8007-4c883abaee97",NA,NA,NA
"Carex crebriflora","Carex","crebriflora",NA,"PreservedSpecimen","2019-05-20","usch","MAIN","a13355a1-1ccc-46d9-9672-521d8d668804","United States","Effingham County","Georgia","Locality: Purrysburg Occurrence Remarks: NA Verbatim Locality: NA",32.284101,-81.167605,"4f4a4105-d8e6-43eb-a50f-259f7a6bfeb4",NA,NA,"and at edge slough in flooded woods on north side of jeep trail and just west of bridge over Abercorn Creek, partial shade with Carex tribuloides, Hypoxis curtissii, Fraxinus caroliniana, Asclepias perennis, Galium tinctorium, Campsis radicans, Justicia ovata, Carpinus caroliniana"
"Mimosa quadrivalvis var. floridana","Mimosa","quadrivalvis","floridana","PreservedSpecimen","1961-08-23","usf","Herb",NA,"USA","Polk Co.","Florida","Locality: Frostproof, W of US 27A off C-630. Occurrence Remarks: NA Verbatim Locality: W of US 27A off C-630.",27.7459,-81.5306,"50c31633-683e-4145-aa01-21b6dd8ca684",NA,NA,"White sand scrub with overstory of Pinus clausa; in marginal area, over Lyonia and scrub oaks; with Bumelia [Sideroxylon], Ceratiola, Palafoxia feayi, Asclepias curtissii."
"Poecilognathus sulphurea","Poecilognathus","sulphurea",NA,"Pinned Specimen","1986-00-00","abs","ARTHARCH","f52df103-0126-47fd-8836-934641444fcd","United States","Highlands County","Florida","Locality: Archbold Biological Station: Occurrence Remarks: NA Verbatim Locality: NA",27.182843,-81.352007,"52980eb4-534f-4491-9929-f9cb0cab6f0b",NA,NA,NA
"Xyris scabrifolia","Xyris","scabrifolia",NA,"PreservedSpecimen","1988-08-26","tex","TEX",NA,"United States","Angelina","Texas","Locality: Ca. 1.6 mi S of FS Rd. 313 & TX 63, near FS Rd. 313 & FS Rd. 327, then 0.3 air mi W, on W side of trib. draining S to Boykin Spring Lake, 9.7 air mi SE of Zavalla, Boykin Spring 7.5' Quad., Boykin Spring Longleaf, Angelina NF. Occurrence Remarks: NA Verbatim Locality: NA",31.07306,-94.27306,"57fb9a89-6657-420b-8aa4-202b82990c83",NA,NA,NA
"Sporobolus curtissii","Sporobolus","curtissii",NA,"PreservedSpecimen","2007-09-14","rsa","RSA","3818e1d3-b6a4-11e8-b408-001a64db2964","United States","Camden","Georgia","Locality: Clarks Bluff, Walter Merck place, ca. 0.25 mi W headquarters. Occurrence Remarks: Plants locally common, forming large tufts. Verbatim Locality: NA",30.77655,-81.7791,"6ac04603-d843-4282-95b5-d1eeb7869c1b",NA,NA,"Recently burned flatwoods."
"Baptisia perfoliata","Baptisia","perfoliata",NA,"PreservedSpecimen","2014-06-18","mmns",NA,"d89aa398-9cf7-4b4c-97be-95f1eda5a3f9","United States","Bulloch","Georgia","Locality: Stanback Place, 4.0 mi N of Pulaski by Pulaski Rd, then S ca. 0.9 mi by Rosa's Lane, along W side Rosa's Lane; 32.41032 -81.89855 Occurrence Remarks: Occasional.; Corolla yellow. Verbatim Locality: NA",32.41059,-81.89725,"6e576dd3-6b91-4be4-bce9-f468ed504e53",NA,NA,"longleaf pine-wiregrass savanna"
"Platanthera ciliaris","Platanthera","ciliaris",NA,"PreservedSpecimen","1988-08-26","tex","TEX",NA,"United States","Angelina","Texas","Locality: Ca. 1.6 mi. S of FS Rd. 313 & TX 63, near FS Rd. 327, then 0.3 air mi. W, on W side of trib. draining S to Boykin Spring Longleaf, Angelina NF. Occurrence Remarks: NA Verbatim Locality: NA",31.07306,-94.27306,"6fab150c-9e20-4b2a-8455-89aba9e9d1b1",NA,NA,NA
"Mimosa quadrivalvis var. floridana","Mimosa","quadrivalvis","floridana","PreservedSpecimen","1961-09-30","usf","Herb",NA,"USA","Polk Co.","Florida","Locality: W Frostproof, off US 27, S part of county. Occurrence Remarks: NA Verbatim Locality: W Frostproof, off US 27, S part of county.",27.7459,-81.5306,"7322f7f2-d2f4-4ae9-bcb2-db717b875369",NA,NA,"White sand scrub, with Quercus myrtifolia, Q. geminata, Serenoa repens; Asclepias curtissii, Palafoxia, and Paronychia in understory.."
"Carex debilis","Carex","debilis",NA,"PreservedSpecimen","2019-05-20","usch","MAIN","a13355a1-1ccc-46d9-9672-521d8d668804","United States","Effingham County","Georgia","Locality: Purrysburg Occurrence Remarks: NA Verbatim Locality: NA",32.284101,-81.167605,"7cdf702f-2642-4cff-84d9-71ab13e0e5ae",NA,NA,"at edge of slough in flooded woods on north side of jeep trail and just west of bridge over Abercorn Creek, partial shade with Carex tribuloides, Hypoxis curtissii, Fraxinus caroliniana, Asclepias perennis, Galium tinctorium, Campsis radicans, Justicia ovata, Carpinus caroliniana"
